"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"777500223954444288","","","2016-09-18 13:31:13 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Your 5k is between me and coffee #butgoodforyou","","","",""
"776815249328574464","776814794682822656","17417376","2016-09-16 16:09:22 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@meau oh yes, amblable tacos are 👌🏻","","","",""
"776814439110770688","776813816818569217","17417376","2016-09-16 16:06:09 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@meau Gotta be something in Holyoke/Springfld? My half-hearted dreams of moving back to W. Mass will be dashed if not!","","","",""
"776089644962344960","","","2016-09-14 16:06:05 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Carla Hayden is RIGHT NOW being sworn in as Librarian of Congress @librarycongress  Watch it! https://t.co/UDBW9p3nfv","","","","https://www.youtube.com/watch?v=lvNuPcftWYE"
"776078939970306049","","","2016-09-14 15:23:32 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","I caused a mini traffic jam on campus with this thing today #nopleaseafteryou https://t.co/uRT8MHbLoc","","","","https://twitter.com/jdbence/status/776078939970306049/photo/1"
"776060092093530112","776058880044437504","24188638","2016-09-14 14:08:39 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@eiratansey btw you got me looking at toastmasters groups bc I'm good on the fly but I rely on that too much for formal presentations","","","",""
"776058880044437504","776054817328422912","168644732","2016-09-14 14:03:50 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@eiratansey Not sure how it wouldn't privilege the slick proposals; maybe audio instead?","","","",""
"776058578612412416","776054564470620160","168644732","2016-09-14 14:02:38 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@eiratansey fair, but I suspect ppl would still see it as barrier.","","","",""
"776054237524549632","776054102312837120","24188638","2016-09-14 13:45:23 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@eiratansey specifically, a video proposal. high expectations for presenting seems like a good idea for sure though","","","",""
"776054102312837120","776054015566176256","168644732","2016-09-14 13:44:51 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@eiratansey more barriers to presenting seems harsh to me","","","",""
"776053464807931904","776051474979782656","168644732","2016-09-14 13:42:19 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@eiratansey harsh!","","","",""
"776051386672881664","776049979429388288","1007294215","2016-09-14 13:34:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@EmoryCampServ I'll have to check it out!","","","",""
"776048785558474752","","","2016-09-14 13:23:43 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Is that @MattStrandmark? https://t.co/3pqP7DnsSO","","","","https://twitter.com/EmoryCampServ/status/776048436353372161"
"776043604460666881","776042336815939584","103920297","2016-09-14 13:03:08 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@stephestellar @tgchute Or get vendors to do product demos in the vendor hall","","","",""
"774025252204675072","","","2016-09-08 23:22:55 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Just remember, only 149 days until the NFL season is over!","","","",""
"773968121656934400","","","2016-09-08 19:35:54 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RIP a Georgia original, Lady Chablis https://t.co/vjlAJWUHnv","","","","http://variety.com/2016/film/news/the-lady-chablis-midnight-in-the-garden-of-good-and-evil-dead-1201855009/"
"773524200879431680","","","2016-09-07 14:11:55 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Fancy new website for our new toy https://t.co/BQ51z3ucFL","","","","http://libraryservicecenter.org/"
"773165461794160640","","","2016-09-06 14:26:25 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Advanced electronic delivery methods going on y’all https://t.co/wTZhujX2kB","","","","https://twitter.com/jdbence/status/773165461794160640/photo/1"
"771429620910526464","771377097017352193","281175644","2016-09-01 19:28:48 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@kathrynchiasson @ConorDDirks it’s going to be reborn like the Phoenix from the ashes. And it’s going to suck 🔪☠","","","",""
"771364736168525824","","","2016-09-01 15:10:59 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","I can't even with the speed at which my neighborhood is blowing up https://t.co/mZBEZzxtC3","","","","https://whatnowatlanta.com/murder-kroger-redevelopment-very-close-to-breaking-ground/"
"771165529079898112","771164019315073024","135354872","2016-09-01 01:59:24 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@ruthbrarian @stephestellar Sisko is the best. THE. BEST. Wish I were him when I grew up!","","","",""
"771163797520314368","771163586370633728","135354872","2016-09-01 01:52:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@ruthbrarian @stephestellar no no I totttttallllyyyy get that 🙌🏻","","","",""
"771163082173186049","771161000368373760","103920297","2016-09-01 01:49:40 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@stephestellar @ruthbrarian Odo is a great character but I’m remembering my super-crush as a 13 y/o on Bashir 😍😍😍","","","",""
"771156922993152000","771155528299012098","24188638","2016-09-01 01:25:12 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@ruthbrarian also we have to deal with Kira’s “side-Rachel” https://t.co/fozbCsjQ2g","","","","https://twitter.com/jdbence/status/771156922993152000/photo/1"
"771155528299012098","771155268176482304","135354872","2016-09-01 01:19:39 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@ruthbrarian understandable, some high highs and low lows in that season","","","",""
"771154695368937472","771154157420027905","135354872","2016-09-01 01:16:21 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@ruthbrarian yeah it’s been a few months since starting the rewatch and I’ve been dreading it since
Ep 1","","","",""
"771153864582164480","","","2016-09-01 01:13:03 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Jadzia died and I wasn’t ready for it, even though I knew it was gunna happen #nerdtweets","","","",""
"770974728609751040","","","2016-08-31 13:21:13 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","""Freight commodity: RARE BOOKS RARE BOOKS RARE BOXES WITH BOOKS IN THEM"" sure something like that","","","",""
"770725027557810177","","","2016-08-30 20:49:00 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","It was awesome having your students visit! Can’t wait to work with them this semester! https://t.co/CLmp45TOjv","","","","https://twitter.com/marydudziak/status/770619805082775552"
"769677699895918592","","","2016-08-27 23:27:18 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @elizabethforma: A trip to Western MA wouldn't be complete without a stop for a beer at Old Forge in Lanesboro! https://t.co/PFEEPuwW03","769676445476122624","357606935","2016-08-27 23:22:19 +0000","https://twitter.com/elizabethforma/status/769676445476122624/photo/1,https://twitter.com/elizabethforma/status/769676445476122624/photo/1"
"768487492500807682","","","2016-08-24 16:37:50 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Hey @AirbnbHelp, I've never linked my paypal account with you but you auto-charged me via paypal. Can you explain?","","","",""
"767750734532251648","","","2016-08-22 15:50:13 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Staff from @EmoryRoseMARBL + @EmoryLibraries packing the @emorywheel back to 1919 to be sent off for digitization! https://t.co/VueU8fCy9k","","","","https://twitter.com/jdbence/status/767750734532251648/photo/1,https://twitter.com/jdbence/status/767750734532251648/photo/1"
"766378103547494400","","","2016-08-18 20:55:53 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Do it, y’all https://t.co/fJkRhLfxL4","","","","https://twitter.com/stephestellar/status/766374990967177216"
"765605288556818432","765594644038180865","9278682","2016-08-16 17:44:59 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@chuckreece trolls gunna troll","","","",""
"765570997315600384","765567469557690370","430390079","2016-08-16 15:28:44 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@kwbfan sure showed me…","","","",""
